medicamento_id,mes,anio,region,temporada,uso_previsto,uso_real,uso_prev_dif,uso_real_dif
Med_1,1,2023,Este,Otoño,231,312,0.0,0.0
Med_1,1,2023,Norte,Invierno,59,92,-172.0,-220.0
Med_1,1,2023,Oeste,Otoño,84,99,25.0,7.0
Med_1,2,2023,Sur,Invierno,190,145,106.0,46.0
Med_1,2,2023,Este,Invierno,131,41,-59.0,-104.0
Med_1,2,2023,Norte,Verano,270,201,139.0,160.0
Med_1,2,2023,Norte,Primavera,225,68,-45.0,-133.0
Med_1,3,2023,Este,Otoño,141,225,-84.0,157.0
Med_1,3,2023,Sur,Verano,118,152,-23.0,-73.0
Med_1,3,2023,Oeste,Verano,213,201,95.0,49.0
Med_1,3,2023,Oeste,Verano,141,137,-72.0,-64.0
Med_1,4,2023,Sur,Invierno,97,319,-44.0,182.0
Med_1,4,2023,Sur,Invierno,231,290,134.0,-29.0
Med_1,5,2023,Oeste,Verano,102,219,-129.0,-71.0
Med_1,5,2023,Oeste,Invierno,115,285,13.0,66.0
Med_1,5,2023,Norte,Verano,145,51,30.0,-234.0
Med_1,5,2023,Este,Verano,140,40,-5.0,-11.0
Med_1,5,2023,Norte,Verano,162,50,22.0,10.0
Med_1,6,2023,Oeste,Invierno,221,307,59.0,257.0
Med_1,6,2023,Sur,Verano,176,107,-45.0,-200.0
Med_1,7,2023,Norte,Invierno,107,199,-69.0,92.0
Med_1,7,2023,Norte,Primavera,95,259,-12.0,60.0
Med_1,7,2023,Sur,Invierno,221,158,126.0,-101.0
Med_1,7,2023,Este,Otoño,120,45,-101.0,-113.0
Med_1,8,2023,Este,Verano,84,312,-36.0,267.0
Med_1,8,2023,Oeste,Primavera,116,112,32.0,-200.0
Med_1,9,2023,Norte,Verano,297,77,181.0,-35.0
Med_1,10,2023,Norte,Invierno,283,239,-14.0,162.0
Med_1,10,2023,Norte,Verano,88,137,-195.0,-102.0
Med_1,10,2023,Sur,Invierno,254,82,166.0,-55.0
Med_1,11,2023,Norte,Primavera,155,210,-99.0,128.0
Med_1,11,2023,Oeste,Invierno,273,141,118.0,-69.0
Med_1,11,2023,Oeste,Otoño,252,226,-21.0,85.0
Med_1,12,2023,Este,Primavera,242,146,-10.0,-80.0
Med_1,12,2023,Norte,Verano,137,267,-105.0,121.0
Med_1,12,2023,Sur,Otoño,97,166,-40.0,-101.0
Med_1,12,2023,Norte,Otoño,138,81,41.0,-85.0
Med_1,1,2024,Norte,Verano,184,52,46.0,-29.0
Med_1,1,2024,Oeste,Primavera,95,272,-89.0,220.0
Med_1,1,2024,Este,Primavera,61,249,-34.0,-23.0
Med_1,2,2024,Oeste,Otoño,199,195,138.0,-54.0
Med_1,2,2024,Oeste,Invierno,244,179,45.0,-16.0
Med_1,2,2024,Este,Primavera,156,229,-88.0,50.0
Med_1,2,2024,Oeste,Primavera,207,157,51.0,-72.0
Med_1,3,2024,Oeste,Verano,181,225,-26.0,68.0
Med_1,4,2024,Este,Otoño,78,109,-103.0,-116.0
Med_1,4,2024,Sur,Otoño,75,48,-3.0,-61.0
Med_1,4,2024,Norte,Primavera,111,149,36.0,101.0
Med_1,4,2024,Sur,Otoño,273,147,162.0,-2.0
Med_1,6,2024,Este,Otoño,136,43,-137.0,-104.0
Med_1,7,2024,Oeste,Verano,131,261,-5.0,218.0
Med_1,7,2024,Oeste,Verano,131,155,0.0,-106.0
Med_1,7,2024,Norte,Primavera,248,44,117.0,-111.0
Med_1,7,2024,Sur,Primavera,258,132,10.0,88.0
Med_1,8,2024,Oeste,Otoño,267,116,9.0,-16.0
Med_1,9,2024,Sur,Verano,298,44,31.0,-72.0
Med_1,9,2024,Norte,Otoño,228,177,-70.0,133.0
Med_1,9,2024,Sur,Primavera,291,65,63.0,-112.0
Med_1,9,2024,Oeste,Primavera,131,81,-160.0,16.0
Med_1,10,2024,Oeste,Otoño,197,97,66.0,16.0
Med_1,10,2024,Oeste,Verano,225,102,28.0,5.0
Med_1,11,2024,Este,Primavera,253,68,28.0,-34.0
Med_1,11,2024,Oeste,Verano,232,150,-21.0,82.0
Med_1,12,2024,Sur,Invierno,176,292,-56.0,142.0
Med_1,12,2024,Oeste,Primavera,248,177,72.0,-115.0
Med_1,12,2024,Sur,Invierno,62,292,-186.0,115.0
Med_1,12,2024,Norte,Verano,68,293,6.0,1.0
Med_10,1,2023,Oeste,Invierno,61,149,0.0,0.0
Med_10,2,2023,Este,Verano,169,206,108.0,57.0
Med_10,2,2023,Norte,Primavera,132,305,-37.0,99.0
Med_10,3,2023,Oeste,Verano,108,167,-24.0,-138.0
Med_10,3,2023,Sur,Otoño,82,278,-26.0,111.0
Med_10,3,2023,Norte,Otoño,98,185,16.0,-93.0
Med_10,3,2023,Este,Primavera,243,55,145.0,-130.0
Med_10,3,2023,Norte,Invierno,135,78,-108.0,23.0
Med_10,4,2023,Sur,Invierno,283,319,148.0,241.0
Med_10,4,2023,Sur,Verano,227,180,-56.0,-139.0
Med_10,6,2023,Sur,Primavera,205,50,-22.0,-130.0
Med_10,7,2023,Norte,Verano,280,137,75.0,87.0
Med_10,8,2023,Norte,Otoño,123,312,-157.0,175.0
Med_10,8,2023,Norte,Verano,104,276,-19.0,-36.0
Med_10,8,2023,Sur,Otoño,134,264,30.0,-12.0
Med_10,8,2023,Sur,Invierno,181,163,47.0,-101.0
Med_10,8,2023,Oeste,Invierno,198,46,17.0,-117.0
Med_10,9,2023,Oeste,Verano,264,145,66.0,99.0
Med_10,9,2023,Este,Primavera,225,247,-39.0,102.0
Med_10,9,2023,Norte,Otoño,176,148,-49.0,-99.0
Med_10,11,2023,Sur,Otoño,165,205,-11.0,57.0
Med_10,11,2023,Sur,Verano,217,288,52.0,83.0
Med_10,12,2023,Oeste,Primavera,294,56,77.0,-232.0
Med_10,12,2023,Sur,Primavera,275,156,-19.0,100.0
Med_10,12,2023,Este,Verano,113,74,-162.0,-82.0
Med_10,1,2024,Sur,Otoño,71,137,-42.0,63.0
Med_10,1,2024,Oeste,Otoño,94,53,23.0,-84.0
Med_10,2,2024,Norte,Primavera,253,239,159.0,186.0
Med_10,3,2024,Oeste,Invierno,78,288,-175.0,49.0
Med_10,3,2024,Este,Otoño,190,253,112.0,-35.0
Med_10,4,2024,Norte,Verano,264,122,74.0,-131.0
Med_10,5,2024,Oeste,Primavera,88,289,-176.0,167.0
Med_10,5,2024,Sur,Otoño,289,284,201.0,-5.0
Med_10,6,2024,Este,Invierno,194,284,-95.0,0.0
Med_10,7,2024,Este,Verano,183,311,-11.0,27.0
Med_10,7,2024,Norte,Invierno,183,231,0.0,-80.0
Med_10,7,2024,Oeste,Otoño,146,236,-37.0,5.0
Med_10,7,2024,Oeste,Otoño,238,129,92.0,-107.0
Med_10,8,2024,Este,Otoño,254,61,16.0,-68.0
Med_10,8,2024,Sur,Verano,265,193,11.0,132.0
Med_10,11,2024,Este,Verano,109,203,-156.0,10.0
Med_10,11,2024,Este,Verano,143,233,34.0,30.0
Med_11,1,2023,Este,Otoño,105,176,0.0,0.0
Med_11,1,2023,Sur,Invierno,132,312,27.0,136.0
Med_11,1,2023,Norte,Primavera,189,177,57.0,-135.0
Med_11,1,2023,Sur,Primavera,168,152,-21.0,-25.0
Med_11,1,2023,Oeste,Verano,205,173,37.0,21.0
Med_11,2,2023,Sur,Invierno,113,218,-92.0,45.0
Med_11,2,2023,Oeste,Otoño,194,115,81.0,-103.0
Med_11,3,2023,Norte,Primavera,257,185,63.0,70.0
Med_11,3,2023,Este,Verano,204,90,-53.0,-95.0
Med_11,4,2023,Sur,Primavera,252,185,48.0,95.0
Med_11,5,2023,Sur,Verano,198,137,-54.0,-48.0
Med_11,5,2023,Sur,Primavera,123,72,-75.0,-65.0
Med_11,6,2023,Oeste,Invierno,292,86,169.0,14.0
Med_11,6,2023,Norte,Primavera,267,187,-25.0,101.0
Med_11,7,2023,Oeste,Otoño,236,69,-31.0,-118.0
Med_11,7,2023,Norte,Invierno,238,135,2.0,66.0
Med_11,8,2023,Sur,Otoño,218,212,-20.0,77.0
Med_11,8,2023,Este,Otoño,111,188,-107.0,-24.0
Med_11,8,2023,Norte,Otoño,256,247,145.0,59.0
Med_11,9,2023,Oeste,Otoño,217,111,-39.0,-136.0
Med_11,10,2023,Sur,Invierno,128,224,-89.0,113.0
Med_11,11,2023,Sur,Primavera,92,277,-36.0,53.0
Med_11,11,2023,Este,Verano,123,118,31.0,-159.0
Med_11,12,2023,Norte,Verano,129,158,6.0,40.0
Med_11,1,2024,Sur,Otoño,278,317,149.0,159.0
Med_11,1,2024,Oeste,Verano,294,258,16.0,-59.0
Med_11,1,2024,Norte,Primavera,111,111,-183.0,-147.0
Med_11,2,2024,Oeste,Verano,226,218,115.0,107.0
Med_11,3,2024,Sur,Otoño,63,187,-163.0,-31.0
Med_11,3,2024,Este,Invierno,57,103,-6.0,-84.0
Med_11,4,2024,Sur,Otoño,123,216,66.0,113.0
Med_11,5,2024,Norte,Otoño,215,143,92.0,-73.0
Med_11,6,2024,Este,Primavera,184,247,-31.0,104.0
Med_11,6,2024,Este,Verano,284,220,100.0,-27.0
Med_11,9,2024,Oeste,Invierno,198,250,-86.0,30.0
Med_11,10,2024,Oeste,Verano,236,247,38.0,-3.0
Med_11,11,2024,Oeste,Verano,253,262,17.0,15.0
Med_11,11,2024,Norte,Primavera,74,194,-179.0,-68.0
Med_11,11,2024,Este,Primavera,132,239,58.0,45.0
Med_11,12,2024,Oeste,Primavera,268,315,136.0,76.0
Med_11,12,2024,Sur,Primavera,139,206,-129.0,-109.0
Med_12,2,2023,Oeste,Otoño,56,89,0.0,0.0
Med_12,2,2023,Sur,Invierno,167,231,111.0,142.0
Med_12,2,2023,Sur,Verano,119,133,-48.0,-98.0
Med_12,3,2023,Sur,Invierno,106,263,-13.0,130.0
Med_12,4,2023,Norte,Otoño,288,84,182.0,-179.0
Med_12,4,2023,Este,Invierno,140,275,-148.0,191.0
Med_12,5,2023,Oeste,Primavera,200,312,60.0,37.0
Med_12,5,2023,Este,Otoño,66,171,-134.0,-141.0
Med_12,5,2023,Sur,Invierno,141,317,75.0,146.0
Med_12,5,2023,Sur,Otoño,101,180,-40.0,-137.0
Med_12,5,2023,Este,Otoño,215,171,114.0,-9.0
Med_12,5,2023,Sur,Verano,134,276,-81.0,105.0
Med_12,6,2023,Este,Verano,196,183,62.0,-93.0
Med_12,6,2023,Este,Verano,181,104,-15.0,-79.0
Med_12,7,2023,Sur,Invierno,205,257,24.0,153.0
Med_12,8,2023,Sur,Verano,51,103,-154.0,-154.0
Med_12,9,2023,Este,Verano,128,71,77.0,-32.0
Med_12,9,2023,Norte,Verano,256,41,128.0,-30.0
Med_12,9,2023,Sur,Primavera,189,58,-67.0,17.0
Med_12,9,2023,Sur,Primavera,55,185,-134.0,127.0
Med_12,9,2023,Oeste,Otoño,175,295,120.0,110.0
Med_12,9,2023,Sur,Invierno,110,58,-65.0,-237.0
Med_12,9,2023,Norte,Otoño,115,194,5.0,136.0
Med_12,10,2023,Este,Invierno,180,168,65.0,-26.0
Med_12,11,2023,Oeste,Primavera,147,293,-33.0,125.0
Med_12,12,2023,Sur,Invierno,117,56,-30.0,-237.0
Med_12,1,2024,Oeste,Verano,106,268,-11.0,212.0
Med_12,2,2024,Oeste,Otoño,205,280,99.0,12.0
Med_12,3,2024,Este,Verano,61,88,-144.0,-192.0
Med_12,3,2024,Este,Invierno,107,126,46.0,38.0
Med_12,3,2024,Norte,Invierno,233,64,126.0,-62.0
Med_12,4,2024,Norte,Invierno,244,310,11.0,246.0
Med_12,5,2024,Este,Invierno,54,161,-190.0,-149.0
Med_12,5,2024,Norte,Invierno,242,102,188.0,-59.0
Med_12,5,2024,Sur,Otoño,119,299,-123.0,197.0
Med_12,6,2024,Este,Verano,180,130,61.0,-169.0
Med_12,6,2024,Norte,Verano,283,265,103.0,135.0
Med_12,6,2024,Este,Otoño,202,256,-81.0,-9.0
Med_12,6,2024,Sur,Invierno,188,170,-14.0,-86.0
Med_12,6,2024,Este,Otoño,279,95,91.0,-75.0
Med_12,7,2024,Este,Invierno,223,55,-56.0,-40.0
Med_12,9,2024,Oeste,Primavera,197,315,-26.0,260.0
Med_12,9,2024,Este,Verano,256,245,59.0,-70.0
Med_12,9,2024,Este,Primavera,192,228,-64.0,-17.0
Med_12,10,2024,Este,Invierno,279,166,87.0,-62.0
Med_12,10,2024,Sur,Invierno,199,40,-80.0,-126.0
Med_12,10,2024,Oeste,Primavera,137,312,-62.0,272.0
Med_12,10,2024,Este,Otoño,70,256,-67.0,-56.0
Med_12,12,2024,Norte,Invierno,255,50,185.0,-206.0
Med_12,12,2024,Norte,Otoño,56,263,-199.0,213.0
Med_12,12,2024,Este,Primavera,74,165,18.0,-98.0
Med_13,1,2023,Sur,Verano,120,286,0.0,0.0
Med_13,1,2023,Sur,Verano,143,128,23.0,-158.0
Med_13,2,2023,Norte,Verano,177,234,34.0,106.0
Med_13,2,2023,Este,Verano,242,116,65.0,-118.0
Med_13,3,2023,Este,Otoño,72,91,-170.0,-25.0
Med_13,3,2023,Sur,Otoño,150,156,78.0,65.0
Med_13,4,2023,Este,Otoño,88,240,-62.0,84.0
Med_13,4,2023,Oeste,Invierno,284,278,196.0,38.0
Med_13,4,2023,Oeste,Verano,169,274,-115.0,-4.0
Med_13,5,2023,Oeste,Verano,94,42,-75.0,-232.0
Med_13,6,2023,Oeste,Verano,98,305,4.0,263.0
Med_13,6,2023,Sur,Verano,241,80,143.0,-225.0
Med_13,7,2023,Norte,Invierno,173,226,-68.0,146.0
Med_13,7,2023,Este,Verano,253,47,80.0,-179.0
Med_13,8,2023,Oeste,Verano,80,40,-173.0,-7.0
Med_13,9,2023,Sur,Primavera,111,180,31.0,140.0
Med_13,10,2023,Oeste,Invierno,290,73,179.0,-107.0
Med_13,10,2023,Norte,Primavera,284,164,-6.0,91.0
Med_13,11,2023,Oeste,Otoño,196,148,-88.0,-16.0
Med_13,11,2023,Norte,Otoño,209,69,13.0,-79.0
Med_13,11,2023,Oeste,Otoño,71,210,-138.0,141.0
Med_13,1,2024,Oeste,Otoño,96,317,25.0,107.0
Med_13,1,2024,Sur,Otoño,299,225,203.0,-92.0
Med_13,1,2024,Este,Invierno,62,103,-237.0,-122.0
Med_13,1,2024,Oeste,Verano,205,204,143.0,101.0
Med_13,1,2024,Norte,Otoño,255,197,50.0,-7.0
Med_13,2,2024,Sur,Invierno,52,117,-203.0,-80.0
Med_13,2,2024,Sur,Primavera,283,134,231.0,17.0
Med_13,3,2024,Sur,Otoño,172,223,-111.0,89.0
Med_13,3,2024,Este,Verano,132,185,-40.0,-38.0
Med_13,4,2024,Oeste,Primavera,87,308,-45.0,123.0
Med_13,4,2024,Oeste,Verano,273,147,186.0,-161.0
Med_13,5,2024,Norte,Invierno,71,229,-202.0,82.0
Med_13,5,2024,Norte,Verano,139,57,68.0,-172.0
Med_13,6,2024,Sur,Primavera,103,114,-36.0,57.0
Med_13,6,2024,Este,Invierno,159,229,56.0,115.0
Med_13,7,2024,Norte,Invierno,198,55,39.0,-174.0
Med_13,7,2024,Oeste,Primavera,191,234,-7.0,179.0
Med_13,8,2024,Sur,Invierno,224,301,33.0,67.0
Med_13,10,2024,Oeste,Primavera,207,135,-17.0,-166.0
Med_13,10,2024,Oeste,Primavera,271,239,64.0,104.0
Med_13,10,2024,Este,Otoño,159,78,-112.0,-161.0
Med_13,11,2024,Este,Verano,172,133,13.0,55.0
Med_13,11,2024,Oeste,Primavera,164,166,-8.0,33.0
Med_13,11,2024,Sur,Primavera,211,47,47.0,-119.0
Med_13,12,2024,Norte,Primavera,82,57,-129.0,10.0
